region,island,lon,lat,year,month,day,coral_cover
NWHI,French_Frigate,193.7674181,23.88333142,2010,9,6,0.20532022416591644
NWHI,French_Frigate,193.76339969,23.88334649,2010,9,6,0.22788673639297485
NWHI,French_Frigate,193.75740938,23.88343149,2010,9,6,0.22788673639297485
NWHI,French_Frigate,193.7544712,23.88387312,2010,9,6,0.17032001912593842
NWHI,French_Frigate,193.74704751,23.88214116,2000,9,10,0.17032001912593842
NWHI,French_Frigate,193.90674413,23.64121827,2006,9,4,0.06422022730112076
NWHI,French_Frigate,193.85242437,23.84965625,2002,9,12,0.0940856784582138
NWHI,French_Frigate,193.7522937,23.88235211,2000,9,10,0.17032001912593842
NWHI,French_Frigate,193.85610412,23.62734342,2008,9,15,0.162677600979805
NWHI,French_Frigate,193.92002314,23.66354092,2008,9,15,0.049993183463811874
NWHI,French_Frigate,193.89369336,23.82610243,2000,9,11,0.05167105048894882
NWHI,French_Frigate,193.94017708,23.70089833,2002,9,11,0.015698350965976715
NWHI,French_Frigate,193.67030002,23.851756,2000,9,11,0.5385026931762695
NWHI,French_Frigate,193.73632027,23.76896165,2003,7,15,0.44912177324295044
NWHI,French_Frigate,193.93937098,23.7035799,2008,9,15,0.015698350965976715
NWHI,French_Frigate,193.92109728,23.6641597,2002,9,11,0.049993183463811874
NWHI,French_Frigate,193.94329,23.71277341,2002,9,11,0.023778658360242844
NWHI,French_Frigate,193.85326869,23.62898716,2010,9,8,0.18904870748519897
NWHI,French_Frigate,193.89025403,23.82924298,2003,7,17,0.05167105048894882
NWHI,French_Frigate,193.93929806,23.69886418,2002,9,11,0.015698350965976715
NWHI,French_Frigate,193.73004914,23.88073457,2002,9,12,0.3030170798301697
NWHI,French_Frigate,193.94033183,23.70540367,2006,9,4,0.023778658360242844
NWHI,French_Frigate,193.90033011,23.63589124,2000,9,14,0.07986022531986237
NWHI,French_Frigate,193.86297473,23.84427527,2002,9,12,0.0454024039208889
NWHI,French_Frigate,193.84430705,23.85350197,2003,7,17,0.06224155053496361
NWHI,French_Frigate,193.93939393,23.70196336,2008,9,15,0.015698350965976715
NWHI,French_Frigate,193.86086973,23.84540009,2002,9,12,0.07906484603881836
NWHI,French_Frigate,193.76149494,23.88225,2004,9,17,0.22788673639297485
NWHI,French_Frigate,193.93656338,23.78479169,2002,9,11,0.005438635591417551
NWHI,French_Frigate,193.94183,23.70688331,2002,9,11,0.023778658360242844
NWHI,French_Frigate,193.90183553,23.63682525,2000,9,14,0.07986022531986237
NWHI,French_Frigate,193.94217545,23.71083545,2006,9,4,0.023778658360242844
NWHI,French_Frigate,193.89871269,23.82388142,2008,10,7,0.04429024085402489
NWHI,French_Frigate,193.88896078,23.83041342,2008,10,7,0.05167105048894882
NWHI,French_Frigate,193.8607052,23.62634125,2008,9,15,0.162677600979805
NWHI,French_Frigate,193.90315071,23.82091778,2010,9,7,0.04429024085402489
NWHI,French_Frigate,193.71015438,23.87727,2004,9,15,0.3243560492992401
NWHI,French_Frigate,193.89934099,23.82338426,2006,9,29,0.04429024085402489
NWHI,French_Frigate,193.92615264,23.79987603,2002,9,12,0.017817893996834755
NWHI,French_Frigate,193.85402409,23.62888814,2008,9,15,0.18904870748519897
NWHI,French_Frigate,193.66837359,23.85727131,2000,9,11,0.5191344022750854
