region,island,lon,lat,year,month,day,date,date_r,coral_cover
NWHI,French_Frigate,-166.0507559,23.74756934,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.019152702763676643
NWHI,French_Frigate,-166.08112131,23.65031965,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.039111364632844925
NWHI,French_Frigate,-166.05050205,23.71500766,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.022967271506786346
NWHI,French_Frigate,-166.086826,23.644129,2015,7,30,2015-07-30T10:00:00Z,2015-07-30,0.06422022730112076
NWHI,French_Frigate,-166.345607,23.865215,2016,9,26,2016-09-26T10:00:00Z,2016-09-26,0.5268498361110687
NWHI,French_Frigate,-166.324674,23.831415,2016,9,3,2016-09-03T10:00:00Z,2016-09-03,0.5021289587020874
NWHI,French_Frigate,-166.34119433,23.84464561,2010,9,7,2010-09-07T10:00:00Z,2010-09-07,0.547644853591919
NWHI,French_Frigate,-166.35066,23.86363,2011,7,28,2011-07-28T10:00:00Z,2011-07-28,0.5441364645957947
NWHI,French_Frigate,-166.135005,23.84482515,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.0454024039208889
NWHI,French_Frigate,-166.1943244,23.8656867,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.13891695191462836
NWHI,French_Frigate,-166.28637057,23.78673655,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.49518147110939026
NWHI,French_Frigate,-166.2714557,23.73332983,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.5337158441543579
NWHI,French_Frigate,-166.32988,23.871397,2016,9,26,2016-09-26T10:00:00Z,2016-09-26,0.4585212469100952
NWHI,French_Frigate,-166.354734,23.830298,2016,9,26,2016-09-26T10:00:00Z,2016-09-26,0.6025295257568359
NWHI,French_Frigate,-166.23172903,23.70583249,2010,9,9,2010-09-09T10:00:00Z,2010-09-09,0.4254967272281647
NWHI,French_Frigate,-166.323303,23.82265275,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.5223192572593689
NWHI,French_Frigate,-166.315278,23.818228,2016,9,26,2016-09-26T10:00:00Z,2016-09-26,0.5223192572593689
NWHI,French_Frigate,-166.321317,23.814193,2015,7,31,2015-07-31T10:00:00Z,2015-07-31,0.5223192572593689
NWHI,French_Frigate,-166.1613,23.84357,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.07033763825893402
NWHI,French_Frigate,-166.2464,23.82381,2011,7,28,2011-07-28T10:00:00Z,2011-07-28,0.36344918608665466
NWHI,French_Frigate,-166.1756,23.78879,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.22956694662570953
NWHI,French_Frigate,-166.2636,23.8668,2010,9,8,2010-09-08T10:00:00Z,2010-09-08,0.20303963124752045
NWHI,French_Frigate,-166.1498,23.83941,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.05743829533457756
NWHI,French_Frigate,-166.1976,23.85758,2014,8,16,2014-08-16T10:00:00Z,2014-08-16,0.10799909383058548
NWHI,French_Frigate,-166.1631,23.73342,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.1489216685295105
NWHI,French_Frigate,-166.1567,23.71589,2017,9,26,2017-09-26T10:00:00Z,2017-09-26,0.1512572318315506
NWHI,French_Frigate,-166.1907,23.8562,2024,8,11,2024-08-11T10:00:00Z,2024-08-11,0.15131793916225433
NWHI,French_Frigate,-166.164,23.7787,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.18889422714710236
NWHI,French_Frigate,-166.1436,23.82,2016,9,27,2016-09-27T10:00:00Z,2016-09-27,0.05887617543339729
NWHI,French_Frigate,-166.2446,23.87798,2017,9,9,2017-09-09T10:00:00Z,2017-09-09,0.22788673639297485
NWHI,French_Frigate,-166.2568,23.86865,2024,8,11,2024-08-11T10:00:00Z,2024-08-11,0.20303963124752045
NWHI,French_Frigate,-166.2366,23.878050000000002,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.22788673639297485
NWHI,French_Frigate,-166.0895,23.80928,2016,9,24,2016-09-24T10:00:00Z,2016-09-24,0.03658593073487282
NWHI,French_Frigate,-166.0986,23.64245,2017,9,10,2017-09-10T10:00:00Z,2017-09-10,0.07986022531986237
NWHI,French_Frigate,-166.1767,23.85813,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.13311168551445007
NWHI,French_Frigate,-166.2171,23.78993,2024,8,11,2024-08-11T10:00:00Z,2024-08-11,0.3402392566204071
NWHI,French_Frigate,-166.3241,23.84894,2010,9,7,2010-09-07T10:00:00Z,2010-09-07,0.5055246353149414
NWHI,French_Frigate,-166.0682,23.69184,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.03657596558332443
NWHI,French_Frigate,-166.2519,23.879270000000002,2014,8,14,2014-08-14T10:00:00Z,2014-08-14,0.17032001912593842
NWHI,French_Frigate,-166.1989,23.86353,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.10799909383058548
NWHI,French_Frigate,-166.2503,23.8794,2015,7,31,2015-07-31T10:00:00Z,2015-07-31,0.17032001912593842
NWHI,French_Frigate,-166.0959,23.81243,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.01708289235830307
NWHI,French_Frigate,-166.2819,23.87612,2016,9,25,2016-09-25T10:00:00Z,2016-09-25,0.3302564322948456
NWHI,French_Frigate,-166.2467,23.82259,2011,7,28,2011-07-28T10:00:00Z,2011-07-28,0.36344918608665466
NWHI,French_Frigate,-166.127,23.83367,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.04001975059509277
NWHI,French_Frigate,-166.1383,23.8401,2024,8,9,2024-08-09T10:00:00Z,2024-08-09,0.0454024039208889
NWHI,French_Frigate,-166.1757,23.85684,2017,9,11,2017-09-11T10:00:00Z,2017-09-11,0.13311168551445007
NWHI,French_Frigate,-166.2789,23.87827,2017,9,27,2017-09-27T10:00:00Z,2017-09-27,0.3302564322948456
NWHI,French_Frigate,-166.1027,23.63723,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.07986022531986237
NWHI,French_Frigate,-166.0635,23.72693,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.021938297897577286
NWHI,French_Frigate,-166.0758,23.7707,2010,9,10,2010-09-10T10:00:00Z,2010-09-10,0.03846968337893486
NWHI,French_Frigate,-166.159,23.63536,2016,9,1,2016-09-01T10:00:00Z,2016-09-01,0.14504699409008026
NWHI,French_Frigate,-166.0861,23.80643,2014,8,15,2014-08-15T10:00:00Z,2014-08-15,0.03658593073487282
